,directorio,secuencia_p,HHincome,fex,hhsize
3793,7313653,1,2041666.625,357.4099426269531,4
3801,7313660,1,3400000.0,296.8659362792969,4
3809,7313669,1,2300681.0,50.713687896728516,4
3864,7313747,1,1750000.0,215.95098876953125,4
3876,7313759,1,379166.65625,100.87194061279297,4
3880,7313765,1,2749333.5,264.0187683105469,4
3882,7313767,1,3141838.75,63.44877624511719,4
3883,7313768,1,480000.0,415.9853515625,4
3890,7313776,1,8700000.0,47.34223556518555,4
3909,7313795,1,7052172.0,459.5270690917969,4
3910,7313796,1,2448844.0,258.01580810546875,4
3912,7313798,1,6005266.0,414.0216979980469,4
3924,7313818,1,6996975.5,20.573020935058594,4
3936,7313832,1,5884172.0,432.52392578125,4
3950,7313848,2,1750000.0,25.76618194580078,4
3953,7313851,1,300000.0,25.76618194580078,4
3955,7313853,1,2400000.0,25.76618194580078,4
3984,7313881,1,9333333.0,95.2101058959961,4
4012,7313915,1,4500000.0,123.5386734008789,4
4018,7313922,1,3303333.5,137.24327087402344,4
4071,7313991,1,5400000.0,9.208559036254883,4
4077,7313997,1,3202838.5,12.55080509185791,4
4080,7314000,1,5804166.5,23.250160217285156,4
4085,7314005,1,2767650.0,14.779169082641602,4
4096,7314015,1,5000000.0,10.64100170135498,4
4120,7314039,1,1083333.375,9.564278602600098,4
4122,7314042,1,1292560.0,17.86646842956543,4
4142,7314062,1,1200000.0,12.855084419250488,4
4163,7314085,1,8000000.0,8.770511627197266,4
4184,7314120,1,5791667.0,8.981420516967773,4
4192,7314128,1,2000000.0,40.0616340637207,4
4200,7314137,1,6382166.5,12.247391700744629,4
4203,7314141,1,6137000.0,8.981420516967773,4
4207,7314145,1,1600000.0,12.247391700744629,4
4226,7314174,1,2820000.0,15.04925537109375,4
4231,7314180,1,1500000.0,20.113527297973633,4
4261,7314220,1,4635000.0,49.796142578125,4
4272,7314232,1,2100000.0,53.85727310180664,4
4289,7314254,1,3600000.0,11.49404239654541,4
4294,7314261,1,2400000.0,8.165465354919434,4
4313,7314285,1,3100000.0,11.49404239654541,4
4317,7314292,1,6175000.0,10.05728816986084,4
4348,7314332,1,600000.0,374.44659423828125,4
4349,7314333,1,1130000.0,298.7865905761719,4
4367,7314351,1,4596450.0,143.71043395996094,4
4373,7314357,1,2200505.5,200.49664306640625,4
4385,7314369,1,181666.671875,241.29542541503906,4
4405,7314391,1,1198333.375,1648.9942626953125,4
4420,7314407,1,5125333.5,87.57919311523438,4
4421,7314408,1,3236666.75,108.56428527832031,4
4424,7314411,1,3400000.0,121.11292266845703,4
4428,7314415,1,6800000.0,121.11292266845703,4
4435,7314422,1,2310505.25,165.47219848632812,4
4438,7314425,1,4075000.0,57.334415435791016,4
4439,7314426,1,7100000.0,57.334415435791016,4
4440,7314427,1,1041666.6875,72.39651489257812,4
4442,7314429,1,2721439.5,44.15017318725586,4
4443,7314430,1,445000.0,122.12224578857422,4
4445,7314432,1,3392000.0,136.7057647705078,4
4456,7314442,1,1000000.0,114.81902313232422,4
4464,7314450,1,300000.0,34.37255859375,4
4467,7314453,1,500000.0,38.524383544921875,4
4522,7314514,1,1983333.375,33.275875091552734,4
4530,7314523,1,880000.0,42.03413772583008,4
4557,7314558,1,4000000.0,58.93113708496094,4
4565,7314567,1,3500000.0,62.70887756347656,4
4568,7314571,1,1288000.0,28.696535110473633,4
4589,7314598,1,533333.3125,43.04283142089844,4
4597,7314609,1,757500.0,40.20303726196289,4
4600,7314612,1,941666.6875,27.97217559814453,4
4619,7314640,1,5007066.5,30.999980926513672,4
4656,7314687,1,1346666.625,21.24494743347168,4
4665,7314696,1,2093333.375,35.85934829711914,4
4668,7314699,1,1780000.0,24.462255477905273,4
4684,7314717,1,1800000.0,22.369993209838867,4
4685,7314718,1,140000.0,33.720943450927734,4
4731,7314766,1,4775000.0,112.14240264892578,4
4740,7314777,1,7433333.5,94.12505340576172,4
4743,7314782,1,3866666.75,98.90107727050781,4
4753,7314808,1,2425000.0,151.37205505371094,4
4762,7314818,1,1000000.0,162.15126037597656,4
4797,7314855,1,800000.0,72.60472869873047,4
4798,7314856,1,1900000.0,87.46797180175781,4
4816,7314875,1,3000000.0,72.07428741455078,4
4835,7314897,1,1258666.625,55.236045837402344,4
4837,7314899,1,373333.3125,48.54262924194336,4
4839,7314901,1,178333.328125,121.74166870117188,4
4891,7314971,1,4040000.0,30.659791946411133,4
4907,7314989,1,4550000.0,11.303284645080566,4
4921,7315003,1,640000.0,14.056000709533691,4
4928,7315013,1,2600000.0,60.580055236816406,4
4956,7315041,1,1987833.375,75.03337860107422,4
4967,7315054,1,1700000.0,12.687453269958496,4
4968,7315055,1,770000.0,11.195667266845703,4
4971,7315058,1,526666.6875,12.612992286682129,4
4984,7315073,1,1680000.0,34.97146224975586,4
4990,7315079,1,1020000.0,125.24138641357422,4
4992,7315081,1,5800000.0,68.16024017333984,4
4993,7315082,1,3000000.0,54.12193298339844,4
5021,7315108,1,4062500.0,52.62367248535156,4
5023,7315110,1,1600000.0,52.32417297363281,4
5049,7315136,1,2206666.75,72.56967163085938,4
5066,7315153,1,7353000.0,134.1090850830078,4
5082,7315169,1,4850333.5,111.45223999023438,4
5094,7315181,1,3266666.5,111.4586410522461,4
5095,7315182,1,1920000.0,83.80023956298828,4
5100,7315187,1,2200000.0,126.99626159667969,4
5121,7315208,1,450000.0,425.1000671386719,4
5123,7315210,1,4271667.0,468.0137634277344,4
5155,7315243,1,9700000.0,144.58163452148438,4
